2017-12-21 23:11:15.924 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 23:11:16.234 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 23:11:16.261 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 23:11:16.302 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 23:11:16.309 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 23:11:16.317 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 23:11:16.371 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 23:11:18.741 INFO  ClienteConsola.Program Sending ContadorAgua ct, NumSerie = 3242
2017-12-21 23:11:18.837 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 23:11:21.602 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-12-21 23:11:21.667 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 23:13:48.567 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 23:13:49.008 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 23:13:49.035 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 23:13:49.079 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 23:13:49.089 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 23:13:49.098 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 23:13:49.131 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
